City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,harper,4.375,-7.7169,78.51,84,93,6.82,LR,2023-02-08 05:26:57
278,qaanaaq,77.484,-69.3632,-25.78,67,8,6.06,GL,2023-02-08 05:26:58
279,carnarvon,-24.8667,113.6333,86.43,53,4,15.75,AU,2023-02-08 05:26:58
280,ocos,14.5094,-92.1933,71.78,72,9,2.46,GT,2023-02-08 05:26:58
281,nagato,34.3833,131.2,51.58,51,7,12.35,JP,2023-02-08 05:26:59
282,koungheul,13.9833,-14.8,70.36,20,37,7.92,SN,2023-02-08 05:26:59
283,djibo,14.1022,-1.6306,74.91,16,79,9.82,BF,2023-02-08 05:26:59
284,along,28.1667,94.7667,58.17,84,100,1.43,IN,2023-02-08 05:26:59
285,kaifeng,34.7911,114.3483,51.04,33,100,14.97,CN,2023-02-08 05:27:00
286,talnakh,69.4865,88.3972,-9.8,97,97,7.2,RU,2023-02-08 05:27:00
287,lloro,5.4961,-76.5495,72.91,99,60,2.08,CO,2023-02-08 05:27:00
288,gobabis,-22.45,18.9667,64.99,84,99,1.52,NA,2023-02-08 05:27:01
289,talas,38.6908,35.5538,16.47,79,75,2.3,TR,2023-02-08 05:27:01
290,constitucion,-35.3333,-72.4167,60.76,63,0,8.23,CL,2023-02-08 05:27:01
291,lavrentiya,65.5833,-171.0,-15.32,92,98,3.4,RU,2023-02-08 05:27:02
292,newberry,34.2746,-81.6187,52.02,70,37,5.39,US,2023-02-08 05:27:04
293,yenagoa,4.9247,6.2642,76.86,88,22,1.79,NG,2023-02-08 05:27:05
294,pochutla,15.7432,-96.4661,71.82,61,0,4.12,MX,2023-02-08 05:27:07
295,hithadhoo,-0.6,73.0833,81.32,73,12,7.87,MV,2023-02-08 05:27:08
296,tilichiki,60.4667,166.1,-21.15,90,56,9.8,RU,2023-02-08 05:27:09
297,horta,38.5333,-28.6333,54.01,64,53,8.99,PT,2023-02-08 05:27:10
298,zemio,5.0314,25.1361,66.78,24,48,3.69,CF,2023-02-08 05:27:10
299,manaure,11.7751,-72.4445,76.33,77,0,15.19,CO,2023-02-08 05:27:10
